02-01 16:53:50.688 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=71 lmb=.11E0 alpha=.1E1 obj=0.3009 imp=.14E-6 bdf=.51E-3] train deviance = 0.6122447792030633, valid deviance = 0.6052856794001413
02-01 16:53:50.695 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=71 lmb=.1E0 alpha=.1E1 obj=0.296 imp=.14E-6 bdf=.51E-3] Got 20 active columns out of 20 total
02-01 16:53:50.695 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=71 lmb=.1E0 alpha=.1E1 obj=0.296 imp=.14E-6 bdf=.51E-3] computed in 0+0=0ms, step = 1
02-01 16:53:50.697 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=72 lmb=.1E0 alpha=.1E1 obj=0.2958 imp=.4E-3 bdf=.34E-1] computed in 1+0=1ms, step = 1
02-01 16:53:50.698 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=73 lmb=.1E0 alpha=.1E1 obj=0.2958 imp=.12E-6 bdf=.49E-3] relImprovement < eps; relImprovement = 1.237238795712256E-7, eps = 1.0E-4
02-01 16:53:50.698 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: DONE after 2 iterations (1)
02-01 16:53:50.698 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=73 lmb=.1E0 alpha=.1E1 obj=0.2958 imp=.12E-6 bdf=.49E-3] solution has 8 nonzeros
02-01 16:53:50.699 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=73 lmb=.1E0 alpha=.1E1 obj=0.2958 imp=.12E-6 bdf=.49E-3] train deviance = 0.6057669118027453, valid deviance = 0.5983508620787873
02-01 16:53:50.699 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=73 lmb=.91E-1 alpha=.1E1 obj=0.2911 imp=.12E-6 bdf=.49E-3] Got 20 active columns out of 20 total
02-01 16:53:50.699 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=73 lmb=.91E-1 alpha=.1E1 obj=0.2911 imp=.12E-6 bdf=.49E-3] computed in 0+0=0ms, step = 1
02-01 16:53:50.700 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=74 lmb=.91E-1 alpha=.1E1 obj=0.291 imp=.35E-3 bdf=.32E-1] computed in 1+0=1ms, step = 1
02-01 16:53:50.700 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=75 lmb=.91E-1 alpha=.1E1 obj=0.291 imp=.1E-6 bdf=.48E-3] relImprovement < eps; relImprovement = 1.023191807491948E-7, eps = 1.0E-4
02-01 16:53:50.700 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: DONE after 2 iterations (1)
02-01 16:53:50.700 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=75 lmb=.91E-1 alpha=.1E1 obj=0.291 imp=.1E-6 bdf=.48E-3] solution has 8 nonzeros
02-01 16:53:50.701 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=75 lmb=.91E-1 alpha=.1E1 obj=0.291 imp=.1E-6 bdf=.48E-3] train deviance = 0.6001565681477954, valid deviance = 0.5923143139471867
02-01 16:53:50.701 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=75 lmb=.83E-1 alpha=.1E1 obj=0.2865 imp=.1E-6 bdf=.48E-3] Got 20 active columns out of 20 total
02-01 16:53:50.701 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=75 lmb=.83E-1 alpha=.1E1 obj=0.2865 imp=.1E-6 bdf=.48E-3] computed in 0+0=0ms, step = 1
02-01 16:53:50.702 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=76 lmb=.83E-1 alpha=.1E1 obj=0.2864 imp=.31E-3 bdf=.3E-1] computed in 1+0=1ms, step = 1
02-01 16:53:50.703 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=77 lmb=.83E-1 alpha=.1E1 obj=0.2864 imp=.86E-7 bdf=.45E-3] relImprovement < eps; relImprovement = 8.595215464966387E-8, eps = 1.0E-4
02-01 16:53:50.703 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: DONE after 2 iterations (1)
02-01 16:53:50.703 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=77 lmb=.83E-1 alpha=.1E1 obj=0.2864 imp=.86E-7 bdf=.45E-3] solution has 8 nonzeros
02-01 16:53:50.704 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=77 lmb=.83E-1 alpha=.1E1 obj=0.2864 imp=.86E-7 bdf=.45E-3] train deviance = 0.5953083700308816, valid deviance = 0.5870723566514404
02-01 16:53:50.704 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=77 lmb=.76E-1 alpha=.1E1 obj=0.2821 imp=.86E-7 bdf=.45E-3] Got 20 active columns out of 20 total
02-01 16:53:50.704 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=77 lmb=.76E-1 alpha=.1E1 obj=0.2821 imp=.86E-7 bdf=.45E-3] computed in 0+0=0ms, step = 1
02-01 16:53:50.705 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=78 lmb=.76E-1 alpha=.1E1 obj=0.282 imp=.27E-3 bdf=.28E-1] computed in 1+0=1ms, step = 1
02-01 16:53:50.706 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=79 lmb=.76E-1 alpha=.1E1 obj=0.282 imp=.72E-7 bdf=.43E-3] relImprovement < eps; relImprovement = 7.179006479151984E-8, eps = 1.0E-4
02-01 16:53:50.706 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: DONE after 2 iterations (1)
02-01 16:53:50.707 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=79 lmb=.76E-1 alpha=.1E1 obj=0.282 imp=.72E-7 bdf=.43E-3] solution has 8 nonzeros
02-01 16:53:50.707 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=79 lmb=.76E-1 alpha=.1E1 obj=0.282 imp=.72E-7 bdf=.43E-3] train deviance = 0.5911189880888196, valid deviance = 0.5825175383549406
02-01 16:53:50.707 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=79 lmb=.69E-1 alpha=.1E1 obj=0.278 imp=.72E-7 bdf=.43E-3] Got 20 active columns out of 20 total
02-01 16:53:50.707 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=79 lmb=.69E-1 alpha=.1E1 obj=0.278 imp=.72E-7 bdf=.43E-3] computed in 0+0=0ms, step = 1
02-01 16:53:50.709 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=80 lmb=.69E-1 alpha=.1E1 obj=0.2779 imp=.24E-3 bdf=.27E-1] computed in 2+0=2ms, step = 1
02-01 16:53:50.710 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=81 lmb=.69E-1 alpha=.1E1 obj=0.2779 imp=.61E-7 bdf=.4E-3] relImprovement < eps; relImprovement = 6.084938913875619E-8, eps = 1.0E-4
02-01 16:53:50.710 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: DONE after 2 iterations (1)
02-01 16:53:50.711 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=81 lmb=.69E-1 alpha=.1E1 obj=0.2779 imp=.61E-7 bdf=.4E-3] solution has 8 nonzeros
02-01 16:53:50.711 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=81 lmb=.69E-1 alpha=.1E1 obj=0.2779 imp=.61E-7 bdf=.4E-3] train deviance = 0.5875024913812398, valid deviance = 0.5785618871629302
02-01 16:53:50.711 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=81 lmb=.63E-1 alpha=.1E1 obj=0.2741 imp=.61E-7 bdf=.4E-3] Got 20 active columns out of 20 total
02-01 16:53:50.711 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=81 lmb=.63E-1 alpha=.1E1 obj=0.2741 imp=.61E-7 bdf=.4E-3] computed in 0+0=0ms, step = 1
02-01 16:53:50.712 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=82 lmb=.63E-1 alpha=.1E1 obj=0.2741 imp=.21E-3 bdf=.25E-1] computed in 1+0=1ms, step = 1
02-01 16:53:50.713 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=83 lmb=.63E-1 alpha=.1E1 obj=0.2741 imp=.37E-7 bdf=.34E-3] relImprovement < eps; relImprovement = 3.705688490596326E-8, eps = 1.0E-4
02-01 16:53:50.713 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: DONE after 2 iterations (1)
02-01 16:53:50.714 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=83 lmb=.63E-1 alpha=.1E1 obj=0.2741 imp=.37E-7 bdf=.34E-3] solution has 10 nonzeros
